fold,iso,a,b,c,lat,lng,training_count
0,FI,24,43,63,60.72808564401604,23.15193708862454,7
0,FI,24,43,68,61.468155,25.147703000000003,1
0,FI,24,46,63,61.184494517188874,22.69702776162729,40
0,FI,24,46,68,61.69889842448315,24.46838565903083,22
0,FI,25,36,59,66.89660371926023,28.70128765724584,17
0,FI,25,36,65,66.59105079919138,28.795224257996885,3
0,FI,25,41,57,65.101683,27.709485000000004,1
0,FI,25,41,60,65.52208949538584,26.77388101518143,5
0,FI,25,41,65,65.86970993963213,28.684896781443857,54
0,FI,25,45,60,65.238803,26.453585000000004,1
0,FI,26,42,54,66.89634895497527,25.33659393470469,40
0,FI,26,42,60,66.00030316100995,24.966824997890626,36
0,FI,26,45,60,65.45800106701408,25.36317463538723,4
0,FI,27,39,66,63.862601000000005,23.253221000000003,1
0,FI,27,45,66,64.65383142947586,25.146854317034027,33
0,FI,27,45,69,64.12889954690509,25.79718492738931,4
0,FI,27,47,62,62.98083733447814,25.805895961605863,12
0,FI,27,47,69,63.5846194431778,25.99230234454639,28
0,FI,28,37,58,62.853713877143974,28.540242551666612,10
0,FI,28,37,64,62.34350175565847,29.887356774210353,16
0,FI,28,37,71,62.84249922620967,30.014589988057224,4
0,FI,28,44,56,61.33776926496342,27.98451634976129,31
0,FI,28,44,58,62.370399076978494,28.099999622312414,2
0,FI,28,44,62,62.302979000000015,27.308843,1
0,FI,28,44,64,61.8802018288412,29.402346231382882,22
0,FI,28,47,58,62.88550120809512,27.722420350803592,3
0,FI,28,47,62,62.42429496717878,26.480361334177786,14
0,FI,29,39,61,62.81047457169309,22.312225129697968,64
0,FI,29,39,68,62.46452876601676,23.768114720902577,8
0,FI,29,46,63,61.68967215847257,22.097607921082673,9
0,FI,29,46,68,62.009723209785086,23.561546085170736,14
0,FI,29,47,62,62.643563232545326,25.29230628096544,2
0,FI,30,36,59,67.4697124589328,27.776364189341873,26
0,FI,30,38,54,67.33279666830802,24.90709940240298,3
0,FI,30,38,59,67.698476,26.752308,1
0,FI,30,38,67,68.45431214115918,27.228818199173134,29
0,FI,30,38,70,67.91737685017868,24.604351814145126,46
0,FI,31,37,58,63.28651930771216,28.34335187317699,12
0,FI,31,37,71,63.22078309102878,29.993644502684738,31
0,FI,31,40,57,64.40385713191316,28.826874428450537,72
0,FI,31,40,58,63.60064800000001,28.018746999999998,1
0,FI,31,40,69,64.00758716245993,27.425749849660235,4
0,FI,31,40,71,63.79963243632934,29.41343225921273,7
0,FI,31,47,69,63.63872514261692,27.543509190910406,3
0,FR,32,49,73,43.37735836420624,3.0631216697568013,24
0,FR,32,49,79,44.496415777119196,2.707469224899582,2
0,FR,32,49,89,44.807269000000005,3.680699,1
0,FR,32,50,73,43.931008655952795,4.110445962952268,2
0,FR,32,50,80,43.80653450071319,5.999938862581035,58
0,FR,32,50,89,44.80402545217671,4.815900846576111,7
0,FR,33,51,77,48.392228333778164,-4.446513175480824,67
0,FR,33,54,82,49.33089912378696,-1.4218752375144739,29
0,FR,33,59,81,47.874547844180576,-2.0168950785179045,34
0,FR,34,52,72,49.815496021853,3.1531457922833748,35
0,FR,34,52,84,49.884938999620914,1.7740977891490586,25
0,FR,34,54,82,49.21949789138526,-0.24280071905998798,13
0,FR,34,54,84,49.377873451429316,0.7790632784690315,16
0,FR,34,57,74,48.39232799371209,2.3270109137410677,8
0,FR,35,49,79,45.35246836366274,2.658783096631778,9
0,FR,35,50,89,45.363684,6.519743999999999,1
0,FR,35,53,79,45.71937591150892,2.9597891470064592,3
0,FR,35,53,83,46.691984837944666,5.5655646433779875,28
0,FR,35,53,87,46.873685887397706,3.951138577222165,22
0,FR,35,53,89,45.78686130936906,4.580339131462881,29
0,FR,35,57,87,47.503284507055064,3.4697579646236383,12
0,FR,36,49,73,43.59284037276035,2.0995154258160027,3
0,FR,36,49,75,43.399154796688094,1.2420816824620022,9
0,FR,36,49,79,44.73164830658438,1.6872062136888628,22
0,FR,36,55,75,43.50541175129983,0.33060782265912375,20
0,FR,36,55,86,44.18020864308271,-0.9732248688489371,76
0,FR,36,55,88,44.88576881724829,-0.6907266811864823,3
0,FR,36,56,79,45.053917000000006,1.020083,1
0,FR,36,56,88,45.39714237773272,-0.6137830264161925,40
0,FR,37,58,76,42.07613345455624,9.16501249614708,51
0,FR,38,48,72,49.5929644007254,4.921750727910647,2
0,FR,38,48,83,47.416018436986356,6.602500177672874,5
0,FR,38,48,85,48.631844223748786,6.305410983058341,42
0,FR,38,48,87,48.02866901463225,4.572729341366442,7
0,FR,38,52,72,49.72798802778407,4.533943631130302,2
0,FR,38,53,83,47.139572,6.277155,1
0,FR,38,57,87,48.191396,3.449985,1
